Mode: 21 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
12	17	20	27	28	29	31	32	33	34	1	2	3	4	5	14	15	19	25	39	2	0	92	672	4654	118	0	68	26	1	0	0	0	
6	9	14	18	29	33	35	37	38	39	2	7	10	16	17	19	21	22	32	36	3	1	120	439	101	38	0	7	0	20	1	1	0	
0	4	7	11	24	25	29	34	35	36	1	2	6	8	9	12	15	18	30	38	2	2	40	0	1182	24629	0	8	36	6	2	1	0	
2	5	6	9	12	20	24	27	29	32	0	10	14	22	25	30	31	34	38	39	3	3	97	609	0	766	661	0	48	3	2	0	0	
0	11	19	21	23	27	30	31	32	34	4	7	10	14	20	22	26	28	29	39	3	0	34	763	295	0	1020	0	89	6	7	1	0	
3	6	14	20	21	24	27	37	38	39	7	9	10	18	22	25	29	33	34	36	0	1	61	220	0	260	74	0	7	4	0	0	0	
1	4	13	15	17	20	23	28	34	38	5	7	11	12	22	24	31	32	33	36	3	2	55	132	4412	180	79	0	8	0	1	0	0	
1	8	13	20	22	27	28	31	33	37	2	3	9	11	12	17	21	24	25	32	3	3	36	258	0	40765	35818	284	0	3	0	1	0	
3	4	5	8	22	23	24	27	38	39	0	2	6	9	14	18	26	28	31	35	0	0	116	855	425	554	91	174	0	4	0	1	0	
3	5	14	19	21	22	24	25	29	37	1	4	7	8	12	13	16	18	26	31	1	1	83	206	0	0	15792	1924	38	13	2	0	0	
6	9	12	14	15	17	18	21	23	35	0	2	5	7	11	13	16	26	28	39	0	2	105	343	148	0	0	271	0	20	3	1	0	
0	4	11	24	25	29	33	35	36	38	7	12	14	16	17	18	21	28	32	34	2	3	40	480	12856	205	3976	0	57	3	0	1	0	
0	4	18	19	21	28	31	33	37	39	2	5	10	12	13	15	20	27	30	38	2	0	65	1231	0	49625	1035	234	0	10	2	2	0	
0	2	3	4	7	8	14	18	23	26	1	10	15	17	20	24	25	28	33	37	3	1	38	313	0	25375	543	0	46	2	1	1	0	
1	2	5	19	28	30	31	34	35	36	9	12	15	16	18	20	21	23	32	39	2	2	84	0	34744	575	1121	1085	74	0	0	1	0	
6	7	9	13	18	23	25	34	36	37	2	5	8	10	16	19	21	28	33	39	2	3	77	90	0	185	0	7	46	1	2	0	0	
7	12	18	19	21	22	30	34	35	37	1	5	10	13	15	16	24	25	28	39	2	0	64	813	322	223	0	7	119	0	2	1	0	
0	1	5	8	22	23	25	29	30	32	2	4	9	10	12	14	31	35	37	39	3	1	70	580	334	10408	989	0	31	6	2	1	0	
3	4	11	14	19	21	23	25	30	37	7	8	10	12	24	27	28	32	34	39	0	2	53	199	4480	0	96	0	0	0	2	1	0	
2	5	9	14	20	25	27	28	30	37	0	7	10	12	15	17	18	29	35	39	0	3	58	243	0	561	3222	164	0	3	1	1	0	
3	4	5	9	13	14	23	24	25	27	0	1	16	20	21	22	30	31	33	35	3	0	55	984	1149	401	376	1	0	0	2	1	0	
