Mode: 18 #Games: 1000 Notes: u1-2Trick-50
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
11	40	35	34	4	5	11	10	4	3	2	1	0	1	2	1	0	2	1	1	1	4	4	4	4	0	0	1	0	70
27	7	53	33	3	0	23	4	2	2	4	2	2	0	2	0	0	0	2	2	1	4	4	4	4	0	0	1	0	106
6	31	50	33	0	4	5	21	1	2	3	4	0	1	2	1	0	1	2	1	0	4	3	3	4	0	1	0	0	61
44	40	30	6	21	9	0	0	3	6	0	1	2	1	1	0	1	2	1	0	1	4	4	3	4	1	0	0	0	88
35	32	20	33	10	11	6	3	3	2	2	3	1	2	0	1	2	1	0	1	0	4	4	4	4	0	0	0	1	32
24	55	18	23	0	13	3	14	2	2	4	2	1	3	0	0	0	2	1	1	0	4	4	4	4	0	0	0	1	16
47	13	45	15	23	0	3	4	3	3	2	2	2	0	2	0	2	0	2	0	1	4	4	4	4	0	1	0	0	116
19	19	32	50	2	0	18	10	2	1	5	2	0	0	2	2	1	1	0	2	1	4	4	4	4	0	0	1	0	86
21	33	22	44	7	13	0	10	3	2	3	2	0	2	0	2	1	0	1	2	0	4	4	4	4	1	0	0	0	27
47	26	43	4	24	2	4	0	3	2	4	1	2	1	1	0	1	1	2	0	1	4	4	4	4	1	0	0	0	90
28	44	25	23	15	5	10	0	5	2	2	1	2	1	0	1	0	2	2	0	1	3	4	4	4	0	0	0	1	89
17	15	51	37	4	2	0	24	3	2	1	4	0	0	2	2	0	1	2	1	0	4	4	4	4	0	0	1	0	62
24	41	22	33	4	13	0	13	3	3	1	3	1	2	1	0	0	1	0	3	0	3	4	4	4	0	1	0	0	64
22	27	23	48	4	14	2	10	3	3	2	2	1	1	0	2	0	1	1	2	0	4	4	4	4	0	0	0	1	32
27	10	40	43	0	4	3	23	1	3	2	4	0	0	3	1	2	0	0	2	0	4	4	4	4	0	1	0	0	79
18	42	7	53	0	24	0	6	1	3	3	3	0	1	0	3	1	2	0	1	0	4	4	4	4	0	0	1	0	19
38	27	36	19	23	3	4	0	4	3	1	2	2	1	1	0	1	1	1	1	1	4	4	4	4	0	0	0	1	62
25	43	26	26	0	15	12	3	0	4	4	2	1	2	1	0	1	1	1	1	0	3	4	4	4	0	0	1	0	73
24	37	28	31	0	0	13	17	1	1	3	5	1	2	0	1	0	1	2	1	0	4	4	4	4	1	0	0	0	40
52	18	19	31	11	12	3	4	3	4	1	2	1	0	1	2	3	1	0	0	1	4	4	4	4	1	0	0	0	61
47	31	28	14	12	11	7	0	3	3	3	1	1	2	0	1	3	0	1	0	0	4	4	4	4	0	1	0	0	81
27	38	36	19	2	0	15	13	1	2	5	2	1	1	2	0	1	1	1	1	1	4	4	4	4	1	0	0	0	87
52	30	18	20	21	6	3	0	3	2	3	2	3	0	0	1	1	2	1	0	1	4	4	4	4	0	0	0	1	55
36	22	27	35	13	0	17	0	3	3	4	0	2	0	0	2	0	2	1	1	1	4	4	4	3	0	1	0	0	49
