Mode: 18 #Games: 1000 Notes: u1-3Trick-50
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
28	44	32	16	10	2	18	0	4	1	4	1	1	1	1	1	1	2	1	0	1	3	4	4	4	0	0	1	0	106
30	49	15	26	0	25	0	5	2	5	1	2	2	1	0	1	0	3	1	0	0	4	3	4	4	0	1	0	0	40
15	35	40	30	2	11	3	14	4	3	1	2	1	1	1	1	0	2	1	1	0	4	4	4	4	1	0	0	0	53
38	31	25	26	0	7	13	10	2	3	2	3	1	1	1	1	1	1	1	1	1	4	4	4	4	0	1	0	0	31
42	37	9	32	14	13	3	0	3	3	3	1	1	2	0	1	2	1	0	1	0	4	4	4	4	0	0	1	0	54
39	14	17	50	0	12	7	11	1	3	4	2	1	0	0	3	2	1	0	1	0	4	4	4	4	0	1	0	0	67
33	11	50	26	13	2	15	0	4	1	4	1	1	0	2	1	1	0	2	1	1	3	4	4	4	0	0	1	0	120
27	15	35	43	15	2	3	10	4	1	3	2	1	1	2	0	1	0	0	3	1	4	4	4	4	0	0	0	1	82
17	41	23	39	0	11	9	10	3	2	3	2	1	3	0	0	0	0	1	3	0	4	4	4	4	0	0	1	0	24
38	36	30	16	0	13	17	0	3	3	4	0	1	2	1	0	2	1	1	0	0	4	4	4	3	0	0	0	1	82
