Mode: 18 #Games: 1000 Notes: u1-Deep
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
31	37	25	27	4	21	5	0	3	4	3	0	1	2	1	0	1	1	0	2	0	3	4	4	3	0	0	1	0	59
47	29	17	27	11	3	2	14	3	1	2	4	2	1	1	0	1	1	0	2	1	4	4	3	4	0	0	0	1	43
30	29	21	40	13	0	17	0	4	1	4	1	1	1	0	2	1	1	1	1	1	3	4	4	4	0	0	0	1	64
26	33	15	46	0	12	4	14	2	3	3	2	1	0	1	2	1	2	0	1	0	4	4	4	4	1	0	0	0	82
35	40	34	11	2	13	15	0	2	2	3	3	1	2	1	0	2	1	1	0	1	4	4	4	4	0	1	0	0	69
35	32	22	31	15	5	10	0	3	3	2	2	2	1	0	1	0	1	2	1	1	4	4	4	4	1	0	0	0	63
25	39	21	35	11	0	5	14	4	0	3	3	1	2	0	1	0	1	1	2	1	4	3	4	3	0	0	1	0	34
31	25	29	35	0	12	11	7	0	6	1	3	1	0	1	2	1	2	1	0	1	3	3	4	4	1	0	0	0	49
17	32	34	37	10	14	4	2	2	4	1	3	0	2	1	1	1	0	1	2	0	4	4	4	4	0	1	0	0	4
9	37	33	41	0	11	3	16	0	2	2	6	0	2	1	1	0	1	1	2	0	3	4	4	3	1	0	0	0	11
16	57	34	13	14	2	10	4	4	2	2	2	1	1	2	0	0	3	1	0	1	3	4	3	4	0	0	1	0	79
28	23	27	42	3	10	13	4	4	2	3	1	1	0	2	1	1	1	0	2	1	4	4	4	4	0	1	0	0	99
53	24	18	25	15	10	3	2	2	3	1	4	2	1	0	1	2	1	0	1	1	4	4	4	4	0	0	0	1	51
17	37	32	34	3	21	6	0	4	4	2	0	0	1	1	2	0	2	1	1	0	4	3	4	3	0	0	1	0	32
9	47	26	38	0	3	0	27	3	2	0	5	0	2	1	1	0	2	1	1	0	3	4	3	4	0	1	0	0	49
9	57	44	10	0	7	21	2	3	2	4	1	0	2	2	0	0	2	2	0	1	4	3	4	4	1	0	0	0	68
26	42	17	35	2	10	0	18	1	1	4	4	2	1	0	1	0	2	1	1	0	4	4	4	4	0	0	0	1	48
24	48	39	9	0	6	24	0	1	2	5	2	0	2	2	0	2	1	1	0	1	4	4	2	4	0	0	0	1	91
5	26	17	72	2	13	4	11	3	3	2	2	0	0	0	4	0	1	1	2	0	4	4	4	4	0	0	1	0	2
9	57	25	29	2	21	0	7	1	3	2	4	0	3	1	0	0	1	1	2	0	4	3	4	4	0	1	0	0	34
42	38	22	18	11	10	9	0	2	2	5	1	2	2	0	0	1	1	1	1	1	4	4	4	4	0	0	0	1	59
49	33	30	8	3	16	11	0	2	5	1	2	1	1	2	0	3	1	0	0	1	4	4	4	4	1	0	0	0	55
35	41	6	38	2	24	4	0	3	3	3	1	0	2	0	2	2	1	0	1	0	4	4	4	3	1	0	0	0	33
46	21	33	20	5	15	0	10	2	3	0	5	3	1	0	0	0	0	2	2	0	4	4	3	4	0	0	1	0	39
32	22	42	24	15	0	2	13	3	1	1	5	1	1	1	1	1	0	2	1	1	4	4	4	3	1	0	0	0	65
26	20	28	46	10	3	2	15	3	1	3	3	0	1	1	2	2	0	1	1	0	4	4	4	3	0	1	0	0	72
33	30	27	30	10	2	0	18	2	3	2	3	1	2	0	1	1	0	2	1	0	4	4	4	4	0	1	0	0	65
39	28	30	23	11	3	14	2	2	2	3	3	2	2	0	0	1	0	2	1	1	4	4	3	3	0	0	1	0	76
34	22	40	24	2	4	10	14	2	3	1	4	1	1	1	1	1	0	2	1	0	4	4	4	3	0	1	0	0	61
19	34	26	41	2	0	24	4	3	2	4	1	1	1	1	1	0	1	1	2	1	4	4	4	4	0	0	1	0	80
31	18	47	24	0	12	11	7	2	3	1	4	1	0	3	0	1	1	1	1	1	4	4	4	4	0	0	0	1	92
35	27	25	33	6	3	21	0	2	3	5	0	1	0	1	2	1	2	1	0	1	4	4	4	3	0	0	0	1	64
24	24	48	24	0	11	10	9	1	2	2	5	1	2	1	0	0	0	3	1	0	3	4	4	4	0	0	1	0	47
41	16	42	21	13	0	0	17	2	3	0	5	1	0	3	0	2	1	0	1	1	4	4	3	4	0	0	0	1	86
45	17	27	31	24	0	0	6	5	2	0	3	2	1	0	1	2	0	2	0	1	3	4	3	4	1	0	0	0	82
34	37	28	21	6	11	10	3	3	3	1	3	1	1	1	1	1	2	1	0	0	4	4	4	4	1	0	0	0	15
35	29	38	18	13	0	15	2	2	1	3	4	1	1	2	0	1	1	1	1	1	4	4	4	4	0	1	0	0	97
24	36	36	24	11	10	4	5	1	4	2	3	1	0	2	1	0	3	1	0	1	4	4	4	4	0	1	0	0	47
26	21	56	17	0	6	21	3	1	4	3	2	0	1	3	0	2	0	2	0	1	4	4	4	4	0	0	0	1	91
60	20	17	23	24	2	4	0	4	1	4	1	3	0	0	1	2	0	1	1	1	4	4	4	4	0	0	1	0	99
22	38	31	29	0	16	10	4	2	4	2	2	0	2	0	2	2	0	2	0	0	3	4	4	4	0	0	1	0	69
27	17	48	28	7	0	12	11	2	3	3	2	0	1	1	2	2	0	2	0	0	4	4	4	4	1	0	0	0	57
28	16	58	18	3	6	21	0	2	3	4	1	0	0	4	0	2	0	1	1	1	4	4	4	4	0	0	0	1	104
49	45	15	11	13	10	4	3	3	1	3	3	2	2	0	0	2	2	0	0	1	4	4	4	4	0	1	0	0	66
27	41	25	27	11	12	3	4	2	3	1	4	1	2	0	1	1	1	1	1	1	4	4	4	4	1	0	0	0	14
30	37	17	36	0	21	0	9	2	3	1	4	1	2	1	0	1	1	0	2	0	4	4	4	4	0	0	1	0	39
14	40	32	34	0	11	14	5	3	1	3	3	0	3	1	0	1	0	1	2	0	4	4	4	4	0	1	0	0	47
18	37	39	26	0	9	11	10	1	3	3	3	0	1	2	1	1	1	1	1	1	4	4	4	3	1	0	0	0	30
23	50	27	20	0	14	2	14	3	3	1	3	1	2	1	0	0	2	1	1	0	4	4	4	4	0	1	0	0	20
17	31	33	39	0	14	5	11	1	3	4	2	1	1	1	1	0	1	1	2	0	4	4	4	4	0	0	1	0	54
30	29	31	30	0	13	15	2	2	3	4	1	1	1	1	1	1	1	1	1	1	4	4	4	4	0	0	0	1	72
28	12	51	29	0	0	21	9	3	1	2	4	1	0	2	1	1	1	2	0	1	4	4	3	4	0	0	0	1	72
23	58	32	7	14	13	0	3	3	3	0	4	0	3	1	0	1	2	1	0	0	4	4	3	3	0	0	0	1	29
34	17	27	42	2	0	18	10	1	4	4	1	0	1	1	2	3	0	0	1	1	4	4	4	4	0	0	1	0	50
47	11	18	44	5	4	0	21	2	2	3	3	2	0	0	2	2	0	1	1	0	4	4	4	4	0	0	0	1	75
24	28	22	46	4	5	10	11	2	3	2	3	1	1	0	2	0	1	1	2	0	4	4	4	4	1	0	0	0	51
32	60	5	23	0	16	0	14	1	3	2	4	2	2	0	0	0	3	0	1	0	4	4	4	4	1	0	0	0	35
30	25	37	28	2	7	11	10	1	4	2	3	1	1	2	0	1	0	1	2	1	4	4	4	4	0	1	0	0	58
37	38	27	18	7	11	2	10	2	1	4	3	1	2	1	0	1	1	1	1	0	4	4	3	4	1	0	0	0	90
21	26	33	40	3	0	15	12	3	0	3	4	1	1	2	0	0	1	0	3	1	4	3	4	4	0	1	0	0	63
16	21	36	47	13	4	3	10	4	3	2	1	1	1	1	1	0	0	1	3	1	4	4	4	4	0	0	1	0	54
17	26	30	47	11	6	0	13	2	3	2	3	1	0	2	1	0	2	0	2	1	4	4	4	4	1	0	0	0	24
17	47	27	29	9	10	0	11	4	2	2	2	0	1	2	1	0	3	0	1	0	4	4	4	4	0	0	1	0	81
41	35	17	27	0	27	3	0	0	5	3	2	2	1	1	0	1	1	0	2	0	3	3	4	4	0	1	0	0	79
