Mode: 5 (N=200,HP) #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
2	13	35	8	30	9	26	27	16	34	24	36	20	1	5	23	33	39	38	14	2	0	84	1083	217	237	0	309	210	0	178	0	0	
27	4	5	11	34	15	2	38	36	0	24	9	14	35	7	1	19	32	17	23	2	1	32	323	214	0	675	270	438	364	267	0	0	
21	38	19	33	29	31	39	36	5	16	3	10	4	2	6	0	37	27	13	12	2	1	15	211	209	0	695	593	465	364	264	166	0	
31	6	29	26	12	11	33	9	36	34	32	28	21	10	23	19	7	13	20	37	1	2	74	220	0	614	190	190	0	200	0	0	0	
3	33	5	15	30	22	32	38	13	37	21	16	29	39	36	35	24	25	0	12	1	2	49	212	0	0	614	514	297	281	0	0	0	
27	15	28	7	13	39	37	24	32	8	34	23	36	2	3	9	35	14	10	4	3	3	42	324	211	0	230	0	464	273	180	0	0	
7	31	22	24	19	6	39	8	4	28	36	38	25	15	13	9	12	30	37	21	3	3	87	438	0	812	191	182	0	357	257	167	0	
26	1	2	15	10	27	19	31	37	11	28	21	14	8	7	18	30	4	34	36	0	0	47	884	0	198	0	401	385	0	263	170	0	
21	27	23	18	16	4	10	19	28	30	6	34	11	35	22	38	8	15	24	29	3	0	97	1110	941	0	666	550	486	203	0	177	0	
20	16	3	33	2	5	15	27	38	32	31	25	1	39	24	11	14	21	10	37	2	1	43	266	269	0	226	215	0	198	0	175	0	
14	18	16	5	25	2	9	21	34	12	13	23	36	0	15	31	27	22	8	33	1	1	34	432	324	247	0	567	212	0	266	175	0	
26	31	20	28	35	22	18	36	7	14	21	19	13	24	25	34	38	15	29	16	1	2	103	436	316	0	750	0	458	350	175	0	0	
