Mode: 4 #Games: 1000
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	S_2	S_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
26	26	46	22	0	15	13	2	2	3	3	2	2	1	0	1	0	0	4	0	0	4	4	4	4	0	0	1	0	69
38	21	40	21	7	11	12	0	3	1	4	2	1	1	1	1	1	0	2	1	0	4	4	3	4	0	0	1	0	68
40	24	22	34	14	14	2	0	2	3	4	1	1	1	0	2	2	1	1	0	0	4	4	3	3	1	0	0	0	22
21	7	33	59	11	5	14	0	2	3	4	1	1	0	0	3	0	0	2	2	1	4	4	4	4	1	0	0	0	57
32	27	36	25	0	10	13	7	1	2	5	2	2	0	2	0	0	2	1	1	1	4	4	3	4	0	0	0	1	103
24	25	55	16	9	11	10	0	4	3	2	1	1	2	1	0	0	0	3	1	0	4	4	4	3	0	0	0	1	80
23	50	42	5	2	24	4	0	3	3	2	2	0	2	2	0	1	2	1	0	0	4	4	4	4	0	1	0	0	57
33	20	39	28	11	6	13	0	2	3	4	1	2	1	1	0	0	0	2	2	1	4	3	3	4	0	0	0	1	95
41	29	34	16	0	16	14	0	1	4	3	2	2	1	1	0	1	1	1	1	1	4	4	4	4	0	1	0	0	86
32	12	36	40	11	0	15	4	1	3	3	3	2	0	0	2	0	1	2	1	1	4	4	3	4	1	0	0	0	53
15	17	42	46	0	0	7	23	3	0	4	3	0	1	2	1	0	0	1	3	0	4	3	3	3	1	0	0	0	76
24	49	19	28	13	11	4	2	2	2	2	4	1	2	0	1	1	1	1	1	0	4	4	4	4	0	0	1	0	52
39	30	38	13	12	4	14	0	3	3	3	1	1	1	2	0	2	0	1	1	1	4	4	4	4	0	0	1	0	115
22	57	16	25	3	21	2	4	3	2	3	2	1	2	0	1	0	3	1	0	0	4	4	4	4	0	1	0	0	58
42	30	26	22	0	23	4	3	1	5	2	2	2	1	0	1	1	1	2	0	0	4	3	4	4	1	0	0	0	55
27	21	30	42	3	0	10	17	3	2	2	3	1	1	0	2	1	0	2	1	0	4	4	4	4	0	1	0	0	48
42	18	21	39	0	16	14	0	2	4	2	2	2	0	1	1	2	1	0	1	1	4	4	4	3	0	0	0	1	94
31	30	41	18	2	14	14	0	3	3	2	2	1	1	1	1	1	1	2	0	1	4	4	4	4	0	0	0	1	69
13	53	31	23	2	25	3	0	3	5	1	1	1	2	1	0	0	2	1	1	0	4	4	4	4	0	0	1	0	30
19	41	42	18	13	6	0	11	4	2	1	3	0	2	1	1	1	1	2	0	0	4	4	4	4	0	1	0	0	51
26	26	35	33	2	15	10	3	4	2	2	2	1	1	1	1	1	0	2	1	0	4	4	4	4	0	0	0	1	82
26	28	35	31	10	0	2	18	2	2	3	3	0	1	1	2	2	1	1	0	0	4	4	4	4	1	0	0	0	47
11	42	28	39	2	14	0	14	3	2	2	3	0	1	1	2	0	2	1	1	0	4	4	4	4	1	0	0	0	47
18	35	30	37	3	11	16	0	1	1	6	2	0	2	1	1	0	1	1	2	0	4	4	3	4	0	0	1	0	81
35	19	35	31	7	0	12	11	2	1	4	3	2	0	1	1	0	1	2	1	0	4	4	4	4	1	0	0	0	78
45	20	39	16	26	4	0	0	4	3	1	2	2	1	1	0	1	0	2	1	1	3	3	4	4	0	0	1	0	81
19	43	36	22	3	10	13	4	2	3	3	2	0	1	2	1	1	3	0	0	1	4	4	4	4	0	1	0	0	77
20	35	49	16	6	11	10	3	4	2	1	3	0	2	2	0	1	1	2	0	0	4	4	4	4	0	1	0	0	71
42	32	13	33	11	4	3	12	2	3	1	4	2	1	0	1	2	1	0	1	1	4	4	4	4	0	1	0	0	65
34	13	26	47	0	0	9	21	1	1	4	4	1	1	0	2	1	0	1	2	0	4	4	4	4	0	0	0	1	51
23	9	58	30	6	3	10	11	3	3	3	1	1	0	1	2	0	0	4	0	0	4	4	4	4	0	0	1	0	88
37	29	36	18	2	14	14	0	2	4	3	1	1	2	0	1	2	0	2	0	0	4	4	4	4	0	0	1	0	53
18	56	23	23	2	18	0	10	1	4	2	3	0	3	1	0	1	1	1	1	0	3	4	4	4	0	0	0	1	43
31	25	49	15	17	2	0	11	5	2	1	2	1	1	1	1	1	0	3	0	0	4	4	4	4	0	0	1	0	82
29	31	22	38	10	2	4	14	2	3	2	3	0	2	1	1	2	0	0	2	0	4	4	4	4	1	0	0	0	40
42	20	27	31	10	0	6	14	2	0	5	3	1	0	1	2	2	1	1	0	0	4	3	4	4	0	0	0	1	88
41	35	27	17	4	10	5	11	2	2	4	2	0	1	2	1	3	1	0	0	0	4	4	4	4	0	0	0	1	77
26	49	24	21	0	25	3	2	0	3	4	3	0	2	1	1	2	1	1	0	0	3	4	4	4	0	1	0	0	47
20	30	36	34	3	12	15	0	1	3	4	2	1	1	1	1	0	1	1	2	1	4	4	3	4	1	0	0	0	69
35	28	14	43	15	0	11	4	4	1	3	2	1	1	1	1	1	1	0	2	1	3	4	4	4	0	0	0	1	74
27	25	19	49	0	17	3	10	3	4	2	1	1	1	0	2	1	0	1	2	0	4	4	4	4	1	0	0	0	50
17	44	26	33	2	15	0	13	3	2	1	4	0	2	1	1	1	1	1	1	0	4	4	4	4	1	0	0	0	59
49	23	17	31	2	13	0	15	2	2	2	4	2	0	0	2	2	2	0	0	0	4	4	4	4	1	0	0	0	55
19	44	29	28	12	15	0	3	3	3	1	3	0	2	1	1	1	1	1	1	0	4	4	4	3	0	0	1	0	45
28	34	30	28	0	9	10	11	0	5	3	2	1	1	1	1	1	1	1	1	0	3	4	4	4	0	1	0	0	37
28	19	34	39	4	3	13	10	4	2	3	1	2	1	1	0	0	0	1	3	1	4	4	4	4	0	1	0	0	75
22	34	18	46	0	7	2	21	1	2	1	6	1	1	0	2	0	1	1	2	0	4	4	4	3	0	1	0	0	2
18	23	32	47	2	11	14	3	2	3	3	2	0	1	1	2	1	1	1	1	0	4	4	4	4	0	0	1	0	54
30	28	34	28	2	11	7	10	1	3	3	3	2	1	1	0	0	1	1	2	0	4	4	4	4	0	0	0	1	59
29	37	23	31	2	10	3	15	2	3	2	3	2	0	0	2	0	3	1	0	0	4	4	4	4	0	0	1	0	50
43	31	28	18	25	0	3	2	3	2	2	3	1	1	1	1	2	1	1	0	1	4	4	3	3	0	1	0	0	95
37	32	11	40	12	11	4	3	3	2	4	1	1	1	0	2	2	1	0	1	0	4	4	4	4	0	0	1	0	62
14	43	27	36	0	13	4	13	2	3	2	3	1	0	1	2	0	3	0	1	0	4	4	4	4	0	0	0	1	39
37	29	17	37	0	11	13	6	1	1	6	2	2	1	0	1	1	1	1	1	0	4	4	4	4	1	0	0	0	75
9	39	9	63	0	13	3	14	1	4	3	2	0	3	0	1	0	0	0	4	0	4	4	3	4	0	0	1	0	29
18	17	43	42	2	4	11	13	3	4	1	2	1	0	2	1	0	1	1	2	1	4	4	4	4	1	0	0	0	45
36	43	21	20	15	12	3	0	4	3	3	0	2	1	0	1	1	2	1	0	1	4	4	4	3	0	1	0	0	60
41	24	16	39	10	6	0	14	3	2	1	4	2	0	0	2	1	1	1	1	0	4	3	4	3	0	0	0	1	45
14	45	30	31	11	0	2	17	3	0	3	4	1	1	2	0	0	2	0	2	1	4	3	3	4	0	0	0	1	44
39	37	30	14	14	14	0	2	4	3	0	3	2	1	1	0	1	1	1	1	0	4	4	3	4	0	1	0	0	103
24	51	17	28	0	17	2	11	4	3	1	2	2	1	0	1	0	3	0	1	0	4	4	4	4	1	0	0	0	42
16	35	37	32	0	0	0	30	2	2	0	6	1	2	0	1	0	1	2	1	0	3	4	3	4	0	0	0	1	27
21	37	33	29	0	14	10	6	2	3	2	3	1	2	1	0	0	0	2	2	0	4	4	4	4	0	0	1	0	81
